,tweet_id,faves,retweets
0,666020888022790149,2355,449
1,666029285002620928,119,41
2,666033412701032449,109,39
3,666044226329800704,265,124
4,666049248165822465,96,40
5,666050758794694657,122,51
6,666051853826850816,1099,752
7,666055525042405380,405,214
8,666057090499244032,263,120
9,666058600524156928,104,51
10,666063827256086533,437,191
11,666071193221509120,135,52
12,666073100786774016,285,141
13,666082916733198337,101,41
14,666094000022159362,153,66
15,666099513787052032,140,57
16,666102155909144576,69,11
17,666104133288665088,13296,5815
18,666268910803644416,94,32
19,666273097616637952,157,70
20,666287406224695296,131,57
21,666293911632134144,451,312
22,666337882303524864,179,81
23,666345417576210432,267,128
24,666353288456101888,193,64
25,666362758909284353,702,502
26,666373753744588802,170,78
27,666396247373291520,155,73
28,666407126856765440,98,31
29,666411507551481857,397,286
30,666418789513326592,112,41
31,666421158376562688,293,101
32,666428276349472768,150,73
33,666430724426358785,290,173
34,666435652385423360,150,45
35,666437273139982337,112,42
36,666447344410484738,94,18
37,666454714377183233,474,196
38,666644823164719104,219,73
39,666649482315059201,1035,568
40,666691418707132416,171,44
41,666701168228331520,396,195
42,666739327293083650,219,60
43,666776908487630848,323,156
44,666781792255496192,358,175
45,666786068205871104,698,440
46,666804364988780544,216,84
47,666817836334096384,471,230
48,666826780179869698,237,83
49,666835007768551424,195,72
50,666837028449972224,752,507
51,666983947667116034,2371,898
52,666996132027977728,226,81
53,667012601033924608,419,202
54,667044094246576128,175,44
55,667062181243039745,205,47
56,667065535570550784,157,41
57,667073648344346624,375,109
58,667090893657276420,311,115
59,667119796878725120,310,121
60,667138269671505920,4258,2003
61,667152164079423490,44466,15524
62,667160273090932737,238,56
63,667165590075940865,2503,1035
64,667171260800061440,203,77
65,667174963120574464,230,72
66,667176164155375616,567,418
67,667177989038297088,177,50
68,667182792070062081,13310,5660
69,667188689915760640,696,365
70,667192066997374976,356,90
71,667200525029539841,572,240
72,667211855547486208,452,221
73,667369227918143488,340,151
74,667393430834667520,180,51
75,667405339315146752,434,206
76,667435689202614272,286,79
77,667437278097252352,420,217
78,667443425659232256,724,535
79,667453023279554560,292,81
80,667455448082227200,179,56
81,667470559035432960,235,89
82,667491009379606528,485,207
83,667495797102141441,488,245
84,667502640335572993,508,205
85,667509364010450944,6361,1967
86,667517642048163840,344,177
87,667524857454854144,1589,1038
88,667530908589760512,437,219
89,667534815156183040,764,485
90,667538891197542400,190,60
91,667544320556335104,804,490
92,667546741521195010,317,115
93,667549055577362432,5381,2084
94,667550882905632768,0,27
95,667550904950915073,0,31
96,667724302356258817,447,292
97,667728196545200128,355,143
98,667766675769573376,409,201
99,667773195014021121,217,48
100,667782464991965184,386,227
101,667793409583771648,653,308
102,667801013445750784,306,87
103,667806454573760512,988,452
104,667832474953625600,274,57
105,667861340749471744,230,74
106,667866724293877760,2852,958
107,667873844930215936,584,375
108,667878741721415682,372,108
109,667885044254572545,773,431
110,667886921285246976,1747,992
111,667902449697558528,806,352
112,667911425562669056,459,271
113,667915453470232577,197,51
114,667924896115245057,277,99
115,667937095915278337,1168,737
116,668113020489474048,626,218
117,668142349051129856,542,259
118,668154635664932864,466,288
119,668171859951755264,455,175
120,668190681446379520,608,186
121,668204964695683073,525,182
122,668221241640230912,483,182
123,668226093875376128,273,94
124,668237644992782336,5790,2618
125,668248472370458624,896,438
126,668256321989451776,1207,550
127,668268907921326080,517,214
128,668274247790391296,769,217
129,668286279830867968,472,126
130,668291999406125056,228,29
131,668297328638447616,586,274
132,668466899341221888,831,471
133,668480044826800133,428,133
134,668484198282485761,395,217
135,668496999348633600,379,121
136,668507509523615744,304,95
137,668528771708952576,436,204
138,668537837512433665,238,66
139,668542336805281792,425,195
140,668544745690562560,482,212
141,668567822092664832,224,49
142,668614819948453888,577,296
143,668620235289837568,186,37
144,668623201287675904,1327,693
145,668625577880875008,357,120
146,668627278264475648,291,101
147,668631377374486528,663,294
148,668633411083464705,2615,1477
149,668636665813057536,969,459
150,668641109086707712,1000,501
151,668643542311546881,813,480
152,668645506898350081,813,488
153,668655139528511488,489,203
154,668779399630725120,671,343
155,668815180734689280,522,242
156,668826086256599040,405,124
157,668852170888998912,424,148
158,668872652652679168,494,279
159,668892474547511297,376,136
160,668902994700836864,298,92
161,668932921458302977,243,53
162,668955713004314625,258,65
163,668960084974809088,658,225
164,668975677807423489,1227,538
165,668979806671884288,746,323
166,668981893510119424,502,277
167,668986018524233728,513,151
168,668988183816871936,845,426
169,668989615043424256,630,307
170,668992363537309700,699,315
171,668994913074286592,413,208
172,669000397445533696,19634,5899
173,669006782128353280,543,226
174,669015743032369152,696,346
175,669037058363662336,612,288
176,669203728096960512,943,434
177,669214165781868544,408,149
178,669216679721873412,1116,377
179,669324657376567296,461,193
180,669327207240699904,538,113
181,669328503091937280,954,385
182,669351434509529089,404,168
183,669353438988365824,589,241
184,669354382627049472,2528,1183
185,669359674819481600,348,112
186,669363888236994561,585,211
187,669367896104181761,429,140
188,669371483794317312,461,165
189,669375718304980992,1243,675
190,669393256313184256,337,69
191,669564461267722241,368,112
192,669567591774625800,220,48
193,669571471778410496,1489,940
194,669573570759163904,409,129
195,669583744538451968,1398,858
196,669597912108789760,484,140
197,669603084620980224,895,336
198,669625907762618368,3300,1681
199,669661792646373376,761,396
200,669680153564442624,629,266
201,669682095984410625,331,125
202,669683899023405056,356,102
203,669749430875258880,244,61
204,669753178989142016,754,368
205,669923323644657664,222,53
206,669926384437997569,355,89
207,669942763794931712,471,146
208,669970042633789440,283,51
209,669972011175813120,415,142
210,669993076832759809,304,75
211,670003130994700288,314,84
212,670037189829525505,559,255
213,670040295598354432,707,104
214,670046952931721218,606,159
215,670055038660800512,625,301
216,670061506722140161,710,308
217,670069087419133954,584,220
218,670073503555706880,1468,731
219,670079681849372674,2081,1134
220,670086499208155136,656,231
221,670093938074779648,962,306
222,670290420111441920,654,266
223,670303360680108032,409,121
224,670319130621435904,3659,1133
225,670338931251150849,401,101
226,670361874861563904,310,60
227,670374371102445568,705,250
228,670385711116361728,528,191
229,670403879788544000,404,141
230,670408998013820928,522,204
231,670411370698022913,1895,825
232,670417414769758208,538,302
233,670420569653809152,580,291
234,670421925039075328,1228,591
235,670427002554466305,493,148
236,670428280563085312,1305,572
237,670433248821026816,312,103
238,670434127938719744,1333,598
239,670435821946826752,997,478
240,670442337873600512,609,186
241,670444955656130560,6331,1846
242,670449342516494336,1135,601
243,670452855871037440,516,189
244,670465786746662913,913,505
245,670468609693655041,337,82
246,670474236058800128,1418,686
247,670668383499735048,10029,4624
248,670676092097810432,229,38
249,670679630144274432,707,259
250,670691627984359425,554,223
251,670704688707301377,727,345
252,670717338665226240,1117,445
253,670727704916926465,786,329
254,670733412878163972,901,474
255,670755717859713024,412,98
256,670764103623966721,1019,391
257,670778058496974848,314,69
258,670780561024270336,745,267
259,670782429121134593,1441,712
260,670783437142401025,781,352
261,670786190031921152,558,183
262,670789397210615808,621,222
263,670792680469889025,779,256
264,670797304698376195,692,216
265,670803562457407488,322,83
266,670804601705242624,1840,889
267,670807719151067136,1094,455
268,670811965569282048,1062,248
269,670815497391357952,2972,1429
270,670822709593571328,570,89
271,670823764196741120,729,173
272,670826280409919488,5167,3771
273,670832455012716544,686,198
274,670833812859932673,409,113
275,670838202509447168,1046,643
276,670840546554966016,548,180
277,670842764863651840,23190,8067
278,670995969505435648,1040,268
